,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
284,34,Cameron,406220,0.582
285,34,DeWitt,20097,0.029
286,34,Goliad,7210,0.01
287,34,Gonzales,6139,0.009
288,34,Hidalgo,111086,0.159
289,34,Jim Wells,40838,0.058
290,34,Kenedy,416,0.001
291,34,Kleberg,32061,0.046
292,34,San Patricio,20425,0.029
293,34,Willacy,22134,0.032
294,35,Bexar,329237,0.471
295,35,Caldwell,17833,0.026
296,35,Comal,31128,0.045
297,35,Guadalupe,22845,0.033
298,35,Hays,81819,0.117
299,35,Travis,215626,0.309
300,36,Chambers,35096,0.05
301,36,Hardin,54635,0.078
302,36,Harris,333943,0.478
303,36,Jasper,35710,0.051
304,36,Liberty,75643,0.108
305,36,Newton,14445,0.021
306,36,Orange,81837,0.117
307,36,Polk,45413,0.065
308,36,Tyler,21766,0.031
