,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
305,106,Denton,161963,1.0
306,107,Dallas,171872,1.0
307,108,Dallas,163233,1.0
308,109,Dallas,174219,1.0
309,110,Dallas,167508,1.0
310,111,Dallas,166967,1.0
311,112,Dallas,167051,1.0
312,113,Dallas,171418,1.0
313,114,Dallas,172330,1.0
314,115,Dallas,171802,1.0
315,116,Bexar,171463,1.0
316,117,Bexar,168692,1.0
317,118,Bexar,164436,1.0
318,119,Bexar,159981,1.0
319,120,Bexar,175132,1.0
320,121,Bexar,174867,1.0
321,122,Bexar,175184,1.0
322,123,Bexar,175674,1.0
323,124,Bexar,174795,1.0
324,125,Bexar,174549,1.0
325,126,Harris,169256,1.0
326,127,Harris,163983,1.0
327,128,Harris,172221,1.0
328,129,Harris,174127,1.0
329,130,Harris,175532,1.0
330,131,Fort Bend,4,0.0
331,131,Harris,175227,1.0
332,132,Harris,172973,1.0
333,133,Harris,171401,1.0
334,134,Harris,174421,1.0
335,135,Harris,172422,1.0
336,136,Williamson,164375,1.0
337,137,Harris,171079,1.0
338,138,Harris,173059,1.0
339,139,Harris,175733,1.0
340,140,Harris,170732,1.0
341,141,Harris,166498,1.0
342,142,Harris,159541,1.0
343,143,Harris,167215,1.0
344,144,Harris,161859,1.0
345,145,Harris,164574,1.0
346,146,Harris,174485,1.0
347,147,Harris,175873,1.0
348,148,Harris,170811,1.0
349,149,Harris,170702,1.0
350,150,Harris,168735,1.0
