,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
223,28.0,Stonewall,1490.0,0.002
224,28.0,Sutton,4128.0,0.005
225,28.0,Taylor,39976.0,0.051
226,28.0,Terry,12651.0,0.016
227,28.0,Throckmorton,1641.0,0.002
228,28.0,Tom Green,110224.0,0.142
229,28.0,Upton,3355.0,0.004
230,28.0,Ward,10658.0,0.014
231,28.0,Wilbarger,13535.0,0.017
232,29.0,Culberson,2398.0,0.003
233,29.0,El Paso,800647.0,0.98
234,29.0,Hudspeth,3476.0,0.004
235,29.0,Jeff Davis,2342.0,0.003
236,29.0,Presidio,7818.0,0.01
237,30.0,Archer,9054.0,0.011
238,30.0,Clay,10752.0,0.013
239,30.0,Collin,113736.0,0.137
240,30.0,Cooke,38437.0,0.046
241,30.0,Denton,115850.0,0.14
242,30.0,Erath,37890.0,0.046
243,30.0,Grayson,120877.0,0.146
244,30.0,Jack,9044.0,0.011
245,30.0,Montague,19719.0,0.024
246,30.0,Palo Pinto,28111.0,0.034
247,30.0,Parker,116927.0,0.141
248,30.0,Wichita,131500.0,0.159
249,30.0,Wise,59127.0,0.071
250,30.0,Young,18550.0,0.022
251,31.0,Andrews,14786.0,0.019
252,31.0,Armstrong,1901.0,0.002
253,31.0,Bailey,7165.0,0.009
254,31.0,Briscoe,1637.0,0.002
255,31.0,Carson,6182.0,0.008
256,31.0,Castro,8062.0,0.01
257,31.0,Cochran,3127.0,0.004
258,31.0,Collingsworth,3057.0,0.004
259,31.0,Dallam,6703.0,0.008
260,31.0,Deaf Smith,19372.0,0.024
261,31.0,Donley,3677.0,0.005
262,31.0,Ector,137130.0,0.173
263,31.0,Gaines,17526.0,0.022
264,31.0,Glasscock,1226.0,0.002
265,31.0,Gray,22535.0,0.028
266,31.0,Hall,3353.0,0.004
267,31.0,Hansford,5613.0,0.007
268,31.0,Hartley,6062.0,0.008
269,31.0,Hemphill,3807.0,0.005
270,31.0,Howard,35012.0,0.044
271,31.0,Hutchinson,22150.0,0.028
272,31.0,Lipscomb,3302.0,0.004
273,31.0,Loving,82.0,0.0
274,31.0,Martin,4799.0,0.006
275,31.0,Midland,136872.0,0.172
276,31.0,Moore,21904.0,0.028
277,31.0,Ochiltree,10223.0,0.013
278,31.0,Oldham,2052.0,0.003
279,31.0,Parmer,10269.0,0.013
280,31.0,Potter,121073.0,0.153
281,31.0,Randall,120725.0,0.152
282,31.0,Roberts,929.0,0.001
283,31.0,Sherman,3034.0,0.004
284,31.0,Swisher,7854.0,0.01
285,31.0,Wheeler,5410.0,0.007
286,31.0,Winkler,7110.0,0.009
287,31.0,Yoakum,7879.0,0.01
