,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,Diabetes,Poverty,LC
2865,VA,James City,"75,524","15,185","18,681","1,206","5,232","4,825","6,507","7,603","5,049",41
2866,VA,King and Queen County,"7,003","1,275","1,567",101,500,454,600,717,862,3
2867,VA,King George County,"26,337","6,676","3,363",530,"1,744","1,350","1,646","2,048","1,753",14
2868,VA,King William County,"16,708","3,876","2,635",307,"1,132",925,"1,163","1,424","1,135",9
2869,VA,Lancaster County,"10,788","1,657","3,836",131,777,819,"1,170","1,324","1,365",5
2870,VA,Lee County,"23,758","4,484","4,868",356,"1,687","1,457","1,895","2,268","6,270",13
2871,VA,Loudoun County,"398,080","113,312","35,607","9,003","25,449","18,345","21,361","27,291","11,895",221
2872,VA,Louisa County,"35,860","7,302","6,937",580,"2,506","2,190","2,836","3,431","3,851",19
2873,VA,Lunenburg County,"12,235","2,302","2,627",182,867,761,999,"1,189","2,299",6
2874,VA,Madison County,"13,277","2,703","2,885",214,923,830,"1,095","1,306","1,488",7
2875,VA,Mathews County,"8,779","1,390","2,704",110,635,634,883,"1,018",842,4
2876,VA,Mecklenburg County,"30,686","5,696","7,735",452,"2,167","2,025","2,734","3,208","5,222",17
2877,VA,Middlesex County,"10,679","1,694","3,318",134,771,779,"1,087","1,254","1,406",5
2878,VA,Montgomery County,"98,559","15,393","12,009","1,223","7,389","4,927","5,715","7,019","20,468",55
2879,VA,Nelson County,"14,943","2,742","3,943",217,"1,056","1,008","1,372","1,605","1,959",8
2880,VA,New Kent County,"21,682","4,346","3,648",345,"1,529","1,279","1,617","1,984","1,165",12
2881,VA,Northampton County,"11,846","2,340","3,046",185,823,778,"1,056","1,234","2,157",6
2882,VA,Northumberland County,"12,275","1,837","4,418",145,888,938,"1,342","1,517","1,761",6
2883,VA,Nottoway County,"15,434","3,009","2,896",239,"1,090",907,"1,161","1,396","2,914",8
2884,VA,Orange County,"36,073","7,675","7,305",609,"2,484","2,166","2,827","3,379","3,231",20
2885,VA,Page County,"23,731","4,761","4,983",378,"1,658","1,466","1,922","2,297","3,618",13
2886,VA,Patrick County,"17,665","3,062","4,576",243,"1,266","1,203","1,629","1,916","2,518",9
2887,VA,Pittsylvania County,"61,258","11,784","13,454",936,"4,320","3,898","5,146","6,142","7,601",34
2888,VA,Powhatan County,"28,601","5,282","5,073",419,"2,055","1,755","2,234","2,740","1,488",16
2889,VA,Prince Edward County,"22,703","3,770","3,689",299,"1,669","1,234","1,516","1,822","4,392",12
2890,VA,Prince George County,"37,809","8,097","5,174",643,"2,632","1,975","2,400","2,954","3,590",21
2891,VA,Prince William County,"463,023","126,361","43,886","10,040","30,053","21,606","25,239","32,058","28,074",258
2892,VA,Pulaski County,"34,184","6,065","7,648",481,"2,454","2,195","2,895","3,447","4,882",19
2893,VA,Rappahannock County,"7,321","1,251","1,938",99,525,504,684,804,651,4
2894,VA,Richmond County,"8,939","1,513","1,907",120,649,555,722,859,"1,343",5
2895,VA,Roanoke County,"93,730","18,887","19,552","1,500","6,543","5,717","7,480","8,919","6,681",52
2896,VA,Rockbridge County,"22,659","3,938","5,728",312,"1,624","1,508","2,031","2,385","2,787",12
2897,VA,Rockingham County,"80,227","17,679","14,933","1,404","5,487","4,623","5,949","7,145","6,611",44
2898,VA,Russell County,"27,048","5,131","5,632",407,"1,918","1,691","2,210","2,650","5,396",15
2899,VA,Scott County,"21,865","3,930","5,153",312,"1,561","1,417","1,887","2,231","3,689",12
2900,VA,Shenandoah County,"43,225","9,149","9,169",726,"2,975","2,631","3,462","4,117","4,047",24
2901,VA,Smyth County,"30,656","5,956","6,598",473,"2,157","1,907","2,507","2,985","5,305",17
2902,VA,Southampton County,"17,750","3,327","3,481",264,"1,266","1,120","1,452","1,764","2,375",9
2903,VA,Spotsylvania County,"133,033","33,185","18,218","2,636","8,843","6,982","8,605","10,649","9,160",74
2904,VA,Stafford County,"146,649","38,437","14,782","3,054","9,653","7,085","8,353","10,595","6,522",81
2905,VA,Surry County,"6,540","1,136","1,412",90,473,431,566,683,833,3
2906,VA,Sussex County,"11,373","1,774","1,933",140,846,665,829,"1,008","1,967",6
2907,VA,Tazewell County,"41,095","7,963","8,894",632,"2,893","2,554","3,358","3,994","7,163",22
2908,VA,Warren County,"39,563","8,749","6,141",695,"2,722","2,224","2,784","3,426","3,583",22
2909,VA,Washington County,"54,387","10,125","12,034",804,"3,863","3,438","4,533","5,389","7,308",30
2910,VA,Westmoreland County,"17,780","3,357","4,423",266,"1,251","1,160","1,563","1,833","2,742",9
2911,VA,Wise County,"38,586","7,605","6,757",604,"2,726","2,217","2,806","3,395","8,285",21
2912,VA,Wythe County,"28,882","5,764","6,095",457,"2,021","1,791","2,349","2,808","3,959",16
2913,VA,York County,"67,739","16,158","10,564","1,283","4,550","3,674","4,608","5,626","3,321",37
2914,VA,Alexandria City,"160,035","28,866","17,715","2,293","11,685","8,058","9,353","11,706","15,922",88
2915,VA,Bristol City,"16,790","3,428","3,507",272,"1,167","1,005","1,314","1,558","3,206",9
2916,VA,Buena Vista City,"6,327","1,191","1,206",94,450,366,468,558,826,3
2917,VA,Charlottesville City,"48,019","7,650","5,394",607,"3,592","2,353","2,693","3,331","9,333",26
2918,VA,Chesapeake City,"240,397","58,454","30,830","4,644","16,141","12,324","14,974","18,592","21,928",133
2919,VA,Colonial Heights City,"17,830","4,272","3,524",339,"1,184","1,010","1,317","1,561","1,718",9
2920,VA,Covington City,"5,531","1,028","1,200",81,393,345,453,539,861,3
2921,VA,Danville City,"41,130","9,087","8,428",722,"2,799","2,419","3,165","3,757","9,679",22
2922,VA,Emporia City,"5,282","1,219","1,022",96,355,303,393,469,"1,180",2
